"key","manufacturer","model","year","price","type","specialAccess","reward","specialOrigin","forzaEditionBoost","rarity","class","performanceIndex"
,"Nissan","Titan Warrior Concept Forza Edition",2016,"300,000","Extreme Offroad","DLC Exclusive","Free w/DLC","FH4 VIP","Destruction","FE","C",583
,"Nissan","Titan Warrior Concept",2016,"50,000","Offroad",,,,,"Common","D",491
,"Nissan","GT-R Black Edition",2012,"105,000","Modern Super Cars",,,,,"Epic","S1",820
,"Nissan","370Z",2010,"40,000","Modern Sports Cars",,,,,"Common","A",716
,"Nissan","Fairlady Z",2003,"35,000","Retro Sports Cars",,,,,"Common","B",671
,"Nissan","Skyline GT-R V-Spec II",2002,"63,000","Retro Sports Cars","Exclusive","Horizon Life",,,"Rare","B",691
,"Nissan","Silvia Spec-R",2000,"25,000","Retro Sports Cars",,,,,"Common","B",643
,"Nissan","R390",1998,"730,000","Retro Super Cars",,,,,"Legendary","S1",877
,"Nissan","Silvia K's Aero",1998,"25,000","Retro Sports Cars",,,,,"Common","C",593
,"Nissan","Skyline GT-R V-Spec",1997,"37,000","Retro Sports Cars",,,,,"Common","B",633
,"Nissan","NISMO GT-R LM Forza Edition",1995,"1,350,000","Extreme Track Toys","Exclusive","Car Mastery R390",,"Event Influence","FE","S1",886
,"Nissan","NISMO GT-R LM",1995,"1,100,000","Retro Sports Cars","Exclusive","S11.2 event",,,"Legendary","B",685
,"Nissan","Fairlady Z Version S Twin Turbo",1994,"25,000","Retro Sports Cars","Exclusive","Events (S6), FP (S13.3)","201902 Series 6",,"Epic","B",655
,"Nissan","Silvia K's",1994,"25,000","Retro Sports Cars",,,,,"Common","C",600
,"Nissan","Skyline GT-R V-Spec",1993,"85,000","Retro Sports Cars",,,,,"Epic","B",620
,"Nissan","240SX SE",1993,"25,000","Retro Sports Cars",,,,,"Common","D",449
,"Nissan","Silvia CLUB K's",1992,"25,000","Retro Sports Cars",,,,,"Common","C",525
,"Nissan","Skyline GTS-R (R31)",1987,"100,000","Retro Sports Cars",,,,,"Epic","C",538
,"Nissan","Skyline H/T 2000GT-R",1973,"170,000","Classic Sports Cars",,,,,"Legendary","D",494
,"Nissan","Skyline 2000GT-R",1971,"60,000","Classic Sports Cars",,,,,"Rare","D",455
,"Nissan","Fairlady Z 432",1969,"150,000","Classic Sports Cars",,,,,"Legendary","D",439
,"Noble","M600",2010,"450,000","Hypercars","Exclusive","Horizon Life",,,"Epic","S1",900
,"Oldsmobile","Hurst/Olds 442",1969,"65,000","Classic Muscle",,,,,"Common","C",520
,"Opel","Manta 400",1984,"100,000","Rally Monsters",,,,,"Epic","A",740
,"Opel","Kadett A",1963,"25,000","Cult Cars","DLC store","Free w/DLC","FH4 Car Pass",,"Common","D",100
,"Pagani","Huayra BC",2016,"1,500,000","Hypercars",,,,,"Legendary","S2",961
,"Pagani","Huayra",2012,"1,300,000","Hypercars",,,,,"Legendary","S1",900
,"Pagani","Zonda R Forza Edition",2010,"1,950,000","Extreme Track Toys","DLC Exclusive","Free w/DLC","FH4 VIP","Clean Skills","FE","S2",986
,"Pagani","Zonda R",2010,"1,700,000","Extreme Track Toys",,"Ranked S4",,,"Legendary","S2",966
,"Pagani","Zonda Cinque Roadster",2009,"2,100,000","Hypercars",,,,,"Legendary","S2",908
,"Peel","Trident",1965,"25,000","Cult Cars","DLC store","Free w/DLC","FH4 Car Pass",,"Legendary","D",100
,"Peel","P50",1962,"20,000","Cult Cars","Exclusive","Barn Find",,,"Legendary","D",100
,"Penhall","The Cholla",2011,"100,000","Offroad Buggies","Exclusive","Horizon Life",,,"Epic","B",646
,"Peugeot","205 Turbo 16 Forza Edition",1984,"450,000","Rally Monsters","Exclusive",,,"Skills","FE","A",703
,"Peugeot","205 T16",1984,"200,000","Retro Rally",,,,,"Legendary","C",597
,"Plymouth","Cuda 426 Hemi",1971,"160,000","Classic Muscle",,,,,"Rare","C",560
,"Plymouth","Hemi Cuda Convertible Barrett-Jackson Edition",1970,"55,000","Classic Muscle","DLC store","Free w/DLC & Car Pass","201904 B-Jackson",,"Rare","B",689
,"Plymouth","Atomic Punk Bubbletop",1959,"105,000","Rods and Customs","DLC store","Free w/DLC & Car Pass","201904 B-Jackson",,"Epic","A",717
,"Plymouth","Fury",1958,"250,000","Rods and Customs","Exclusive","S8 FP, S20.2 event","201904 Series 8",,"Legendary","C",518
,"Polaris","RZR XP 1000 EPS",2015,"25,000","Offroad Buggies",,,,,"Common","D",464
,"Pontiac","Firebird Trans Am GTA",1987,"25,000","Retro Muscle",,,,,"Common","C",505
,"Pontiac","Firebird Trans Am",1977,"45,000","Classic Muscle",,,,,"Common","D",431
,"Pontiac","Firebird Trans Am SD-455",1973,"61,000","Classic Muscle","Exclusive","Wheelspin, S6 event",,,"Common","C",536
,"Pontiac","GTO Judge",1969,"90,000","Classic Muscle",,,,,"Rare","C",514
,"Pontiac","GTO",1965,"48,000","Classic Muscle","Exclusive","FP (S7, S11)","201903 Series 7",,"Legendary","C",514
,"Porsche","911 GT3 RS",2019,"240,000","Track Toys","Exclusive","Ranked S3","201810 Series 1",,"Legendary","S2",915
,"Porsche","911 Carrera S",2019,"105,000","Modern Sports Cars","DLC store","Free w/DLC","FH4 Car Pass",,"Rare","S1",840
,"Porsche","Macan Turbo",2019,"250,000","Sports Utility Heroes","Exclusive","S13.3 event","201908 Series 13",,"Legendary","A",720
,"Porsche","911 GT2 RS",2018,"315,000","Track Toys",,"Loyalty Rewards",,,"Legendary","S2",910
,"Porsche","718 Cayman GTS",2018,"250,000","Modern Sports Cars","Exclusive","S13.4 event","201908 Series 13",,"Epic","S1",808
,"Porsche","Cayenne Turbo",2018,"220,000","Sports Utility Heroes","Exclusive","Wheelspin, Ranked S1, S10 event, S13.3 event",,,"Legendary","A",769
,"Porsche","Panamera Turbo",2017,"150,000","Super Saloons",,,,,"Rare","A",789
,"Porsche","911 GT3 RS Preorder Car",2016,"235,000","Track Toys","DLC Promo","Eliminator; Free w/DLC","FH4 Retail Bonus",,"Legendary","S2",998
,"Porsche","911 GT3 RS",2016,"235,000","Track Toys",,,,,"Epic","S2",904
,"Porsche","Cayman GT4",2016,"85,000","Track Toys",,,,,"Rare","S1",840
,"Porsche","Cayman GTS",2015,"80,000","Modern Sports Cars","Exclusive","Horizon Life",,,"Rare","A",791
,"Porsche","Macan Turbo",2015,"105,000","Sports Utility Heroes",,,,,"Epic","A",708
,"Porsche","918 Spyder",2014,"850,000","Hypercars",,,,,"Epic","S2",942
,"Porsche","911 Turbo S",2014,"150,000","Modern Super Cars",,,,,"Epic","S1",827
,"Porsche","911 GT2 RS",2012,"240,000","Track Toys",,,,,"Legendary","S1",882
,"Porsche","911 GT3 RS 4.0",2012,"200,000","Track Toys",,,,,"Legendary","S1",847
,"Porsche","Cayenne Turbo",2012,"110,000","Sports Utility Heroes",,,,,"Epic","A",740
,"Porsche","911 GT3",2004,"65,000","Retro Super Cars",,,,,"Rare","S1",803
,"Porsche","Carrera GT",2003,"400,000","Retro Super Cars",,,,,"Epic","S1",866
,"Porsche","911 GT1 Strassenversion",1998,"2,500,000","Retro Super Cars",,"Ranked S17",,,"Legendary","S1",850
,"Porsche","911 GT2",1995,"550,000","Retro Super Cars",,"S13.3 FP",,,"Epic","A",774
,"Porsche","968 Turbo S",1993,"140,000","Retro Sports Cars","DLC store","Free w/DLC","FH4 Car Pass",,"Rare","A",716
,"Porsche","944 Turbo",1989,"35,000","Retro Sports Cars",,,,,"Common","B",659
,"Porsche","959",1987,"400,000","Retro Super Cars",,,,,"Legendary","A",784
,"Porsche","#185 959 Prodrive Rally Raid",1985,"205,000","Rally Monsters","DLC store","Free w/DLC","FH4 Car Pass",,"Common","A",779
,"Porsche","911 Turbo 3.3 (930)",1982,"150,000","Retro Super Cars",,,,,"Legendary","B",688
,"Porsche","911 Carrera RS",1973,"200,000","Rare Classics",,,,,"Epic","B",631
,"Porsche","#23 917/20",1971,"10,000,000","Classic Racers",,"S13.4 Trial",,,"Legendary","S1",861
,"Porsche","#3 917 LH",1970,"250,000","Classic Racers","Exclusive","S13.1 Trial","201908 Series 13",,"Common","S1",868
,"Porsche","914/6",1970,"24,000","Classic Sports Cars","Exclusive","S7 FP, S9 event","201903 Series 7",,"Legendary","D",408
,"Porsche","906 Carrera 6",1966,"250,000","Classic Racers","Exclusive","S13 FP","201908 Series 13",,"Legendary","A",748
,"Porsche","356 C Cabriolet Emory Special",1964,"250,000","Classic Sports Cars","Exclusive","S18.3 FP","202001 Series 18",,"Epic","B",687
,"Porsche","718 RS 60",1960,"1,000,000","Classic Racers",,,,,"Legendary","A",716
,"Porsche","356 A 1600 Super",1959,"240,000","Rare Classics","DLC store","Free w/DLC","FH4 Car Pass",,"Common","D",180
,"Porsche","356A Speedster",1957,"300,000","Rare Classics",,,,,"Epic","D",185
,"Porsche","550A Spyder",1955,"600,000","Classic Racers",,"S8 event, S13.4 FP",,,"Epic","D",387
,"Porsche","#46 356 SL Gmund Coupe",1951,"250,000","Classic Racers","Exclusive","S13.2 event, S15.1 FP","201908 Series 13",,"Epic","D",199
,"Quartz","Regalia",723,"500,000","GT Cars","Exclusive","S6 event, S13.4 FP","201902 Series 6",,"Epic","B",675
,"Quartz","Regalia Type-D",723,"500,000","Extreme Offroad","Exclusive","Car Mastery (Regalia)","201902 Series 6",,"Legendary","C",597
,"Radical","RXC Turbo",2015,"330,000","Extreme Track Toys",,,,,"Epic","S2",958
,"Ram","Rebel TRX Concept",2017,"100,000","Offroad","DLC store","Free w/DLC","201812 Fortune",,"Epic","A",716
,"Ram","2500 Power Wagon",2017,"47,000","Offroad","Exclusive","Horizon Life",,,"Common","C",518
,"Reliant","Supervan III",1972,"35,000","Cult Cars",,,,,"Common","D",100
,"Renault","Megane R.S.",2018,"250,000","Super Hot Hatch","Exclusive","S17.3 FP","201912 Series 17",,"Rare","A",702
,"Renault","Clio R.S. 16 Concept",2016,"250,000","Super Hot Hatch","Exclusive","S17.3 event","201912 Series 17",,"Rare","A",731
,"Renault","Clio R.S. 200 EDC",2013,"29,000","Hot Hatch",,,,,"Common","B",606
,"Renault","Megane R.S. 250",2010,"30,000","Super Hot Hatch",,,,,"Common","B",666
,"Renault","Clio R.S. Forza Edition",2010,"25,000","Track Toys","Exclusive","Wheelspin, S13.4 PG",,"Clean Skills","FE","A",701
,"Renault","Clio R.S.",2010,"25,000","Hot Hatch",,,,,"Common","C",598
,"Renault","Megane R26.R",2008,"250,000","Super Hot Hatch","Exclusive","Eliminator","201912 Series 17",,"Rare","A",704
,"Renault","Clio RS 197",2007,"250,000","Hot Hatch","Exclusive","S17.4 Trial","201912 Series 17",,"Common","C",592
,"Renault","Sport Clio V6",2003,"250,000","Hot Hatch","Exclusive","S17.2 event","201912 Series 17",,"Rare","B",627
,"Renault","Clio Williams",1993,"30,000","Retro Hot Hatch","Exclusive","Horizon Life",,,"Common","C",502
,"Renault","5 Turbo Forza Edition",1980,"316,000","Rally Monsters","Exclusive","Trial S17.1",,"Sills","FE","B",675
,"Renault","5 Turbo",1980,"120,000","Retro Rally",,,,,"Rare","C",512
,"Renault","Alpine A110 1600s",1973,"98,000","Classic Rally","Exclusive","Horizon Life",,,"Epic","C",522
,"Rimac","C_Two",2019,"2,000,000","Hypercars","Exclusive","S10.4 FP, S14 Ranked","201906 Series 10",,"Legendary","S2",994
,"RJ Anderson","#37 Polaris RZR-Rockstar Energy Pro 2 Truck",2016,"500,000","Extreme Offroad",,,,,"Epic","S1",815
,"Rossion","Q1",2010,"180,000","Modern Super Cars","Exclusive","S15.1 PG","201910 Series 15",,"Epic","S1",855
,"Rover","SD1 Vitesse",1984,"250,000","Retro Saloons","Exclusive","S19.1 event","202002 Series 19",,"Rare","D",498
,"Saleen","S5S Raptor",2010,"180,000","Modern Super Cars","DLC Exclusive","Fortune Island","201812 Fortune",,"Epic","S1",873
,"Saleen","S7",2004,"388,000","Retro Super Cars",,,,,"Legendary","S1",879
,"Shelby","Cobra 427 S/C",1965,"2,100,000","Rare Classics",,,,,"Legendary","B",700
,"Shelby","Cobra Daytona Coupe",1965,"8,000,000","Classic Racers",,"FP S17",,,"Legendary","B",645
,"Shelby","Monaco King Cobra",1963,"550,000","Classic Racers","DLC store","Free w/DLC & Car Pass","201904 B-Jackson",,"Epic","S1",837
,"Spania GTA","GTA Spano",2016,"800,000","Modern Super Cars",,,,,"Epic","S2",931
,"Subaru","#199 WRX STI VT15R Rally Car",2016,"300,000","Rally Monsters",,,,,"Legendary","A",762
,"Subaru","WRX STI",2015,"42,000","Modern Rally",,,,,"Rare","B",693
,"Subaru","BRZ",2013,"32,000","Modern Sports Cars",,,,,"Common","C",562
,"Subaru","WRX STI ",2011,"33,000","Modern Rally",,,,,"Common","B",682
,"Subaru","Impreza WRX STI",2008,"31,000","Modern Rally",,,,,"Common","B",681
,"Subaru","Impreza WRX STi",2005,"51,000","Modern Rally",,,,,"Rare","B",694
,"Subaru","Impreza WRX STi",2004,"28,000","Modern Rally","Exclusive","Wheelspin, S10 FP",,,"Common","B",670
,"Subaru","Impreza 22B STi",1998,"110,000","Retro Rally","Exclusive","Barn Find",,,"Legendary","B",650
,"Subaru","Legacy RS",1990,"25,000","Retro Rally",,,,,"Common","C",503
,"Sunbeam","Tiger",1967,"65,000","Classic Sports Cars","DLC free","Free w/DLC","201809 free DLC",,"Rare","D",500
,"Talbot","Sunbeam Lotus",1979,"25,000","Classic Rally","DLC free","Free w/DLC","201809 free DLC",,"Common","D",469
,"TAMO","Racemo",2017,"600,000","Modern Sports Cars",,,,,"Legendary","C",577
,"Terradyne","Gurkha LAPV",2014,"450,000","Offroad",,"Wheelspin, S8 event",,,"Legendary","D",223
,"Top Gear","Track-Tor",2018,"250,000","Extreme Offroad","Exclusive","Story: Top Gear","201907 Series 11",,"Legendary","C",577
,"Toyota","Land Cruiser Arctic Trucks AT37",2016,"83,000","Extreme Offroad",,,,,"Rare","D",444
,"Toyota","Hilux Arctic Trucks AT38",2007,"55,000","Extreme Offroad",,"S4 event",,,"Common","C",516
,"Toyota","Supra RZ",1998,"250,000","Retro Sports Cars",,"Eliminator","201912 Series 17",,"Legendary","B",693
,"Toyota","#1 T100 Baja Truck",1993,"500,000","Extreme Offroad",,,,,"Legendary","A",732
,"Toyota","Sprinter Trueno GT Apex",1985,"250,000","Retro Sports Cars","Exclusive","S18","202001 Series 18",,"Epic","D",444
,"Toyota","2000GT",1969,"750,000","Classic Sports Cars","Exclusive","S20.3 FP","202003 Series 20",,"Legendary","D",447
,"Triumph","TR6 PI",1970,"25,000","Classic Sports Cars","DLC store","Free w/DLC","FH4 Car Pass",,"Common","D",419
,"Triumph","TR3B",1962,"25,000","Classic Sports Cars","DLC store","Free w/DLC","FH4 Car Pass",,"Common","D",243
,"Triumph","Spitfire",1962,"20,000","Classic Sports Cars","Exclusive","Barn Find",,,"Legendary","D",203
,"TVR","Griffith",2018,"105,000","Modern Sports Cars","DLC store","Free w/DLC","FH4 Car Pass",,"Common","S1",844
,"TVR","Sagaris Forza Edition",2005,"336,000","Retro Sports Cars","Exclusive","Car Mastery Sagaris, Ranked S6",,"Speed Skills","FE","S2",902
,"TVR","Sagaris",2005,"86,000","Retro Sports Cars",,,,,"Rare","A",797
,"TVR","Tuscan S",2001,"250,000","Retro Super Cars","Exclusive","S6 event, S11.4 Playlist","201902 Series 6",,"Epic","A",747
,"TVR","Cerbera Speed 12",1998,"500,000","Extreme Track Toys","Exclusive","Barn Find",,,"Legendary","S1",874
,"Ultima","Evolution Coupe 1020",2015,"130,000","Extreme Track Toys","Exclusive","Horizon Life",,,"Rare","S2",998
,"Vauxhall","Corsa VXR",2016,"28,000","Hot Hatch",,,,,"Common","B",610
,"Vauxhall","Astra VXR",2012,"25,000","Super Hot Hatch",,,,,"Common","B",684
,"Vauxhall","Insignia VXR",2010,"42,000","Super Saloons","DLC store","Free w/DLC","FH4 Car Pass",,"Common","B",676
,"Vauxhall","Corsa VXR",2009,"250,000","Hot Hatch","Exclusive","S8 FP, S14 Ranked","201904 Series 8",,"Rare","C",600
,"Vauxhall","Monaro VXR",2005,"25,000","Modern Muscle",,,,,"Common","A",716
,"Vauxhall","VX220 Turbo",2004,"20,000","Modern Sports Cars","DLC store","Free w/DLC","FH4 Car Pass",,"Common","A",717
,"Vauxhall","Lotus Carlton",1990,"70,000","Retro Saloons",,,,,"Common","B",665
,"Volkswagen","#94 Volkswagen Motorsport I.D R Pikes Peak",2018,"250,000","Extreme Track Toys","Exclusive","S14.2 Trial","201909 Series 14",,"Legendary","S2",998
,"Volkswagen","#34 Volkswagen Andretti Rallycross Beetle",2017,"500,000","Rally Monsters",,,,,"Legendary","S1",869
,"Volkswagen","Global Rallycross Beetle",2014,"500,000","Rally Monsters","Exclusive","Wheelspin, Events (S6, S10, S13.3)",,,"Legendary","S1",846
,"Volkswagen","Golf R",2014,"50,000","Super Hot Hatch",,,,,"Rare","B",672
,"Volkswagen","Scirocco R",2011,"45,000","Hot Hatch",,,,,"Rare","B",678
,"Volkswagen","Golf R",2010,"64,000","Super Hot Hatch","Exclusive","Wheelspin",,,"Rare","B",661
,"Volkswagen","Touareg R50",2008,"48,000","Sports Utility Heroes",,,,,"Common","B",631
,"Volkswagen","Golf R32 ",2003,"20,000","Hot Hatch",,,,,"Common","B",630
,"Volkswagen","Gti VR6 Mk3",1998,"25,000","Retro Hot Hatch",,,,,"Common","C",512
,"Volkswagen","Corrado VR6",1995,"20,000","Retro Hot Hatch",,,,,"Common","C",535
,"Volkswagen","Golf Gti 16v Mk2",1992,"20,000","Retro Hot Hatch",,,,,"Common","D",454
,"Volkswagen","Golf GTI",1983,"20,000","Retro Hot Hatch",,,,,"Common","D",408
,"Volkswagen","Scirocco S",1981,"20,000","Retro Hot Hatch",,,,,"Common","D",264
,"Volkswagen","#1107 Desert Dingo Racing Stock Bug",1970,"25,000","Offroad Buggies",,,,,"Common","D",438
,"Volkswagen","Class 5/1600 Baja Bug",1969,"60,000","Offroad Buggies",,,,,"Rare","D",407
,"Volkswagen","Type 3 1600 L (Notchback)",1967,"250,000","Cult Cars","Exclusive","S12","201908 Series 12",,"Epic","D",153
,"Volkswagen","Karmann Ghia",1967,"250,000","Cult Cars","Exclusive","S12","201908 Series 12",,"Epic","D",100
,"Volkswagen","Double Cab Pick-Up",1966,"50,000","Vans & Utility","DLC store","Free w/DLC","FH4 Car Pass",,"Rare","D",100
,"Volkswagen","Beetle",1963,"20,000","Cult Cars",,,,,"Common","D",100
,"Volkswagen","Type 2 De Luxe Forza Edition",1963,"290,000","Cult Cars","Exclusive","Ranked S3",,"Speed Skills","FE","D",100
,"Volkswagen","Type 2 De Luxe",1963,"40,000","Cult Cars",,,,,"Rare","D",100
,"Volvo","Iron Knight",2016,"800,000","Trucks",,,,,"Epic","A",797
,"Volvo","V60 Polestar",2015,"62,000","Super Saloons",,,,,"Common","B",652
,"Volvo","850 R",1997,"25,000","Retro Saloons",,,,,"Common","C",544
,"Volvo","242 Turbo Evolution",1983,"45,000","Classic Rally",,,,,"Rare","C",512
,"W Motors","Lykan HyperSport",2016,"3,400,000","Hypercars",,,,,"Legendary","S2",907
,"Willys","MB Jeep",1945,"40,000","Offroad",,,,,"Common","D",100
,"Zenvo","ST1",2016,"1,000,000","Hypercars","Exclusive","Story",,,"Legendary","S1",900
